2018,,,,,,,,,,,,,,,,
month,beer,food,bus/taxi,phone,market,others,house,total,clothes,rent/bill,trips,eletronics,others,medical,gym,total
January,€42,€65,€12,€20,€87,€34,€0,€260,€22,€390,€12,€145,€0,€70,€30,€929
February,€56,€29,€20,€20,€60,€12,€0,€197,€0,€450,€397,€0,€0,€0,€30,"€1,074"
March,€116,€4,€33,€20,€80,€62,€0,€315,€36,€425,€501,€0,€120,€0,€30,"€1,427"
April,€76,€60,€13,€20,€68,€0,€0,€237,€95,€460,€0,€0,€45,€0,€30,€867
May,€13,€65,€6,€20,€14,€0,€0,€118,€30,€400,"€1,540",€0,€0,€0,€30,"€2,118"
June,€29,€44,€9,€20,€80,€15,€0,€197,€72,€450,€774,€0,€25,€10,€30,"€1,558"
July,€33,€16,€3,€20,€114,€11,€0,€197,€25,€400,€0,€45,€0,€0,€30,€697
August,€65,€89,€0,€20,€95,€7,€6,€282,€26,€445,€0,€0,€30,€19,€30,€832
September,€38,€16,-,€20,€126,€7,-,€207,€25,€400,€219,-,-,€7,€30,€888
,,,,,,,,,,,,,,,,
Total:,€468,€388,€96,€180,€724,€148,€6,"€2,010",€331,"€3,820","€3,443",€190,€220,€106,€270,"€10,390"
Average:,€52,€43,€12,€20,€80,€16,€1,€223,€37,€424,€383,€24,€28,€12,€30,"€1,154"